period,dt_period_start,dt_period_end,account,debit,credit,description
w41_2026,1791158400000,1791763199000,6100-SALARY,3125.00,0.00,Salaried staff (weekly)
w41_2026,1791158400000,1791763199000,6110-WAGES,4100.00,0.00,Construction crew
w41_2026,1791158400000,1791763199000,6130-PAYROLL-TAX,700.00,0.00,Employer taxes
w41_2026,1791158400000,1791763199000,6300-SITE-LEASE,1200.00,0.00,Construction site lease
w41_2026,1791158400000,1791763199000,6310-INSURANCE,800.00,0.00,Builder's risk + liability
w41_2026,1791158400000,1791763199000,6500-DEPRECIATION,450.00,0.00,Construction equipment depreciation
w41_2026,1791158400000,1791763199000,1500-EQUIPMENT,0.00,450.00,Accumulated depreciation contra
w42_2026,1791763200000,1792367999000,6100-SALARY,3125.00,0.00,Salaried staff (weekly)
w42_2026,1791763200000,1792367999000,6110-WAGES,4100.00,0.00,Construction crew
w42_2026,1791763200000,1792367999000,6130-PAYROLL-TAX,700.00,0.00,Employer taxes
w42_2026,1791763200000,1792367999000,6300-SITE-LEASE,1200.00,0.00,Construction site lease
w42_2026,1791763200000,1792367999000,6310-INSURANCE,800.00,0.00,Builder's risk + liability
w42_2026,1791763200000,1792367999000,6500-DEPRECIATION,450.00,0.00,Construction equipment depreciation
w42_2026,1791763200000,1792367999000,1500-EQUIPMENT,0.00,450.00,Accumulated depreciation contra
w43_2026,1792368000000,1792972799000,6100-SALARY,3125.00,0.00,Salaried staff (weekly)
w43_2026,1792368000000,1792972799000,6110-WAGES,5200.00,0.00,Construction crew (overtime)
w43_2026,1792368000000,1792972799000,6130-PAYROLL-TAX,880.00,0.00,Employer taxes (overtime)
w43_2026,1792368000000,1792972799000,6300-SITE-LEASE,1200.00,0.00,Construction site lease
w43_2026,1792368000000,1792972799000,6310-INSURANCE,800.00,0.00,Builder's risk + liability
w43_2026,1792368000000,1792972799000,6500-DEPRECIATION,450.00,0.00,Construction equipment depreciation
w43_2026,1792368000000,1792972799000,1500-EQUIPMENT,0.00,450.00,Accumulated depreciation contra
