model,account,account_credit,account_debit,acknowledged,acknowledged_by_id,action,action_id,action_type,actions,address1,address2,address3,address_id,address_type,addresses,adjustment_reason,alert,allocation_method,alternate_group,amount,annual_turns,answer,answer_id,answered_by,applied,applied_at,applies_to,approved_by,assigned_to,attempted,attention,attrs,auto_flag,availability_state,available,base_uom,batch_id,batch_type,body,burndown,cancel_reason,canceled,canonical_key,catalog,catalog_id,category,change,change_reason,changes,channel,checksum,child_description,child_ida,child_item_id,city,classification,code,comments,commission,company,completed,completed_by,component,conditions_description,conditions_id,confidential,config,conflicts,connection_id,connections,contact_id,contacts,content,copyright,cost,cost_snapshot,count,count_absorbed,count_accessed,count_exceptions,count_posted,count_skipped,counted_qty,country,country_code,created_by,created_by_id,credit,currency,customer_id,customer_orgbase_id,day_cut_off_due,day_cut_off_invoice,days,days_discount,days_due,days_in_period,deadline_by,debit,dedup_key,delivered_qty,delivery_visit_id,department,description,detail,difficulty,direction,discount_potential,discount_rate,display_name,district,division,docs,document_id,domain_id,domains,drill_id,drill_name,dry_run,dt,dt_acknowledged,dt_applied,dt_approved,dt_arrived,dt_begin,dt_committed,dt_completed,dt_created,dt_deadline,dt_discount_due,dt_due,dt_effective_end,dt_effective_from,dt_effective_start,dt_effective_to,dt_end,dt_end_original,dt_expected,dt_expires,dt_finished,dt_joined,dt_journaled,dt_kanban,dt_last_checked,dt_last_recalc,dt_last_used,dt_modified,dt_needed,dt_next,dt_next_check,dt_payment,dt_performed,dt_processed,dt_received,dt_reconciliation,dt_recorded,dt_released,dt_scheduled,dt_start,dt_start_original,dt_started,dt_transaction,dt_updated,duration,duration_s,duration_seconds,duty,editor_type,email,email_id,email_message_id,emails,employee_id,employee_orgbase_id,encryption,end_by,expected_by,explanation,external_sku,external_uuid,fee_amount,finance,financial,flags,flow,format,full,gateway,gateway_payment_intent_id,gateway_response,gateway_transaction_id,gl_account_id,gl_account_payable,gl_accounts,gls,group_id,groups,handling,health_rating,icon,id,ida,impact,instructions,insufficient,intent,inventory_check_id,inventory_frequency,inventory_layer_id,invoice_id,invoice_type,is_active,is_alternate,is_archived,is_cleared,is_commission,is_completed,is_deleted,is_locked,is_optional,is_preferred,is_primary,is_staff,is_superuser,is_universal_pct,is_verified,is_void,item,item_fk_id,item_id,item_ida,kanban_column,kind,languages,last_login,latitude,ledger,line_increment,line_number,line_type,linkage,linkage_id,loaded_qty,location,logged_by,logistics,longitude,lot,manufacturer_id,manufacturer_orgbase_id,maps,margin_floor,margin_pct,margin_velocity,merchant,message,metadata,method,metrics,mime_type,model_code,model_ida,model_name,month,name,name_first,name_last,name_middle,name_prefix,name_suffix,nav_group,nav_order,note,notes,number,object_id,objective,op_data,opt_out,order_id,org_id,org_model,org_type,orgbase_id,orgitem_id,outcome,output_type,parent_action_id,parent_description,parent_id,parent_ida,parent_item_id,parent_model,passed,password,path,paths,payload,payment_id,payment_term_id,percent_complete,period_count,period_month,period_year,phone_id,phones,physical,plan,planned_qty,postal_name,precision,prefs,preset_type,price,price_level,prior_qty,priority,profit,profit_velocity,project_id,project_ida,project_metadata,project_name,promoted,proposal_id,purchase_id,purchase_line_id,purpose,qr_code,qty,quantity,quantity_maximum,quantity_minimum,question,question_id,rating,raw_text,reason,receipt_id,recommendations,reconciled,record_id,reference_number,refs,relations,relationship_stats,relationships,rep_id,rep_orgbase_id,request_ref,required_role,requisition_id,reserved_conflict_skipped,resolution,resolved,response,retention_period,retrospection,revision,role,role_required,route,row_version,rules,run_by_id,run_type,scope,score,scrap_factor,script_after,script_before,script_during,scripts,search_vector,security_level,sell,sequence,serial_batch,serial_id,serial_ida,service_provider,set_uuid,ship_via,shipping,show_in_nav,site,site_code,situation,size,size_bytes,skipped_locked,skipped_reason,sku,slug,sort_order,source,source_id,source_model,source_model_name,source_name,source_type,specification_id,stack_id,start_by,state,statement_date,stats,status,still_locked,subject,summary,symbol,tasks,tax,tax_code,tax_exempt_code,tax_jurisdiction,tax_jurisdiction_id,tax_name,tax_rate_cost,tax_rate_on_shipping,tax_rate_sales,tendered,term_id,terms,terms_fk_id,times_used,title,total_credit,total_debit,totals,type,type_id,universal_pct,uom,updated_by,use_count,used_for,user_id,user_permissions,uuid,value_available,value_original,variance_qty,variant_uuid,vat,velocity_category,vendor_id,vendor_invoice_amount,vendor_invoice_freight,version,warehouse_id,warranty,workorder_id,workorder_line_id,year,yield_pct,zip
action,,,,,,x,,x,x,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,x,,,,x,,,,,x,,,,x,,,,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,x,,x,,,,,,,,,,,,,,,,,x,,,,x,x,x,,,,,,,,x,x,,,,,,,,x,x,,,,,,,,,,,,x,x,,,x,x,,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,x,,x,x,x,,,,,,,,,x,,x,,,,x,x,,,,,,,,,,,,,x,,x,,,,,,,x,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,x,,,,,,,,,,,x,,,,,x,,,x,x,x,x,,,,,x,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,x,,,,,,,,,,,,,,,,,,,x,,,,,,,,,x,,,,,x,,,,,,,,,,x,,,,,,,
address,,,,,,,,,x,x,x,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,x,,,,,,,,,x,,,,x,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,x,,,,,,,,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,x,,x,x,,x,,,,,,,,x,,x,,,,x,x,,,,,,,,,,,,,,,,,x,,,,,,,,,,,x,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,x,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,x,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,x,,,,,,,,,,x,,,,,,,x
alice_coaching_log,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,x,,,x,,,,,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,x,x,,,,,x,,,,x,x,,,,,,,,,,,,,,,,,,x,x,,,,,,,,,,,,,,x,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,x,x,,,,,,,,,,x,,x,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,x,,,,,,,,,,x,,,,,,,
alice_observation,,,,x,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,x,,,,,,,,,,,,,,,,x,,x,,,,,x,,,,,,,,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,x,x,,,,,,,,,,x,,x,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,x,,,,,,,,,,,x,,,,,,,,,,,,,,x,,x,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,x,,,,,,,,,,x,,,,,,,
alice_preset,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,x,,,,,x,,,,,,,,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,x,x,,,,,,,,,,x,,x,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,x,,,,x,,,,,,,,,,x,,,,,,,
audit,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,x,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,x,,,,,,,,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,x,x,,,,,,,,,,x,,x,,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,x,,,,,,,,,,,x,,,,,,,,x,,,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,x,,,,,,,,,,x,,,,,,,
bill_of_material,,,,,,,,,x,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,x,x,x,,,,x,,,,,,,,,x,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,x,,,,,x,,x,,,,,,,,,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,x,,,,,,,,,,,x,x,x,,,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,x,,x,x,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,x,,,x,,,,,,,,,,,,,x,,,,,,,,,,,,,,,x,,,,,,,,,,x,,,,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,x,,,,,,,,,,x,,,,,,x,
bundle,,,,,,,,,x,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,x,,,,,x,,,,,,,,,,,,,,,,,,x,x,,,,,,x,,,,,,,,,,,x,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,x,,x,x,,,,,,,,,,x,,x,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,x,,,,,,,,,,,x,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,x,,,,,,,,,,x,,,,,,,
catalog,,,,,,,,,x,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,,,,,,,x,,x,,,,,,,,,,,,,,,,,,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,x,,,,x,,x,,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,x,,x,,,,,,,,,,,x,,x,,,,x,x,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,x,,x,,,,,x,,x,,,,,,x,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,x,,,,,,,,,,,x,,,,,,,,,,,,,,,,x,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,x,,,,,,,x,,,,,,,x,,,,,,,,,,x,,,,,,,
connection,,,,,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,x,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,x,,,,,,,,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,x,,x,x,,,,,,,,,,x,,x,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,x,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,x,,,x,,,,,,,,,,,,,,,,,x,,,,,,,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,x,,,,,x,,,,,,,,,x,,,,,,,,,,x,,,,,,,
