key,app,model,endpoint,kind,aliases
action,core,apps.core.models.action.Action,actions,support,actions
audit,accounts,apps.accounts.models.audit.Audit,audits,support,audits
bill_of_material,products,apps.products.models.bill_of_material.BillOfMaterial,bills-of-material,support,"bill_of_materials,bill_of_material"
bundle,sync,apps.sync.models.bundle.Bundle,sync-eundles,support,eundles_sync
catalog,products,apps.products.models.catalog.Catalog,catalogs,support,catalogs
connection,sync,apps.sync.models.connection.Connection,connections,support,connections
contact,core,apps.core.models.contact.Contact,contacts,support,contacts
currency,accounts,apps.accounts.models.currency.Currency,currencies,support,currencies
delivery_line,products,apps.products.models.flow.DeliveryLine,delivery-lines,support,delivery_lines
delivery_visit,products,apps.products.models.flow.DeliveryVisit,delivery-visits,support,delivery_visits
doc,docs,apps.docs.models.document.Document,docs,support,"docs,document,documents"
linkage,docs,apps.docs.models.linkage.Linkage,doc-linkages,support,linkages
question_answer,docs,apps.docs.models.question_answer.QuestionAnswer,doc-qas,support,question_answer
tag,docs,apps.docs.models.tag.Tag,doc-tags,support,tags
document,docs,apps.docs.models.document.Document,documents,support,"doc,documents"
domain,communications,apps.communications.models.domain.Domain,domains,support,domains
email,communications,apps.communications.models.email.Email,emails,support,emails
exchange_rate,accounts,apps.accounts.models.exchange_rate.ExchangeRate,exchange-rates,support,exchange_rates
exchange_transaction,accounts,apps.accounts.models.exchange_transaction.ExchangeTransaction,exchange-transactions,support,exchange_transactions
gl_account,accounts,apps.accounts.models.gl_account.Gl_account,gl-accounts,support,gl_accounts
gl_journal,accounts,apps.accounts.models.gl_journal.Gl_journal,gl-journals,support,gl_journals
inventory_adjustment_run,products,apps.products.models.processor_runs.InventoryAdjustmentProcessorRun,inventory-adjustment-runs,support,inventory_adjustment_runs
inventory_check,products,apps.products.models.inventory_check.InventoryCheck,inventory-checks,support,inventory_checks
inventory_check_line,products,apps.products.models.inventory_check.InventoryCheckLine,inventory-check-lines,support,inventory_check_lines
inventory_metrics_snapshot,products,apps.products.models.metrics.InventoryMetricsSnapshot,inventory-metrics-snapshots,support,inventory_metrics_snapshots
inventory_reservation,products,apps.products.models.inventory_reservation.InventoryReservation,inventory-reservations,support,inventory_reservations
invoice,transactions,apps.transactions.models.Invoice,invoices,header,invoices
invoice_line,transactions,apps.transactions.models.InvoiceLine,invoice-lines,line,invoice_lines
item,products,apps.products.models.item.Item,items,support,items
ledger,accounts,apps.accounts.models.ledger.Ledger,ledgers,support,ledgers
location,communications,apps.communications.models.location.Location,locations,support,locations
notification,core,apps.core.models.notification.Notification,notifications,support,notifications
org_item,products,apps.products.models.org_item.OrgItem,org-items,support,org_items
pending_inventory_adjustment,products,apps.products.models.inventory_layer.PendingInventoryAdjustment,pending-inventory-adjustments,support,pending_inventory_adjustments
phone,communications,apps.communications.models.phone.Phone,phones,support,phones
project,transactions,apps.transactions.models.projects.Project,projects,support,projects
project_association,transactions,apps.transactions.models.project_links.ProjectAssociation,project-associations,support,project_associations
proposal,transactions,apps.transactions.models.Proposal,proposals,header,proposals
proposal_line,transactions,apps.transactions.models.ProposalLine,proposal-lines,line,proposal_lines
purchase_order,transactions,apps.transactions.models.PurchaseOrder,purchase-orders,header,purchase_orders
purchase_order_line,transactions,apps.transactions.models.PurchaseOrderLine,purchase-order-lines,line,purchase_order_lines
purchase_receipt,transactions,apps.transactions.models.purchase_receipt.PurchaseReceipt,purchase-receipts,support,purchase_receipts
report,core,apps.core.models.report.Report,reports,support,reports
requisition,transactions,apps.transactions.models.Requisition,requisitions,header,requisitions
requisition_line,transactions,apps.transactions.models.RequisitionLine,requisition-lines,line,requisition_lines
sales_order,transactions,apps.transactions.models.SalesOrder,sales-orders,header,sales_orders
sales_order_line,transactions,apps.transactions.models.SalesOrderLine,sales-order-lines,line,sales_order_lines
serial_log,products,apps.products.models.serial.SerialLog,serial-logs,support,serial_logs
setting,core,apps.core.models.setting.Setting,settings,support,settings
tax_jurisdiction,accounts,apps.accounts.models.tax_jurisdiction.TaxJurisdiction,tax-jurisdictions,support,tax_jurisdictions
template,core,apps.core.models.template.Template,templates,support,templates
term,accounts,apps.accounts.models.term.Term,terms,support,terms
warehouse,products,apps.products.models.warehouse.Warehouse,warehouses,support,warehouses
work_order,transactions,apps.transactions.models.WorkOrder,work-orders,header,work_orders
work_order_line,transactions,apps.transactions.models.WorkOrderLine,workorder-lines,line,work_order_lines
